,0,1,2,3,4,5
61,株式会社ニフス | 保育園での勤務だから、子ども好きな人はぜひ♪有資格者限定募集,仕事内容:新規にオープンする保育園にて食事提供に関わる業務を担当いただきます。※残業はほぼなし※日祝は休園日 + ほか希望を考慮した月8～10日のシフト休み,対象となる方:◆栄養士・管理栄養士・調理師のいずれかの有資格者 ◆出産・育児等によるブランクがある方も歓迎 ☆保育園での勤務：子ども好きな方はぜひ,勤務地:〈2021年4月に開園！〉東おおしま保育園 神奈川県川崎市川崎区大島5-21-12 └0歳児から5…,給与:【月給】23万5000円以上 ※年齢や経験を考慮し、当社規定により優遇します ※上記月給には、一律支給の…,初年度年収:300万円～400万円
62,株式会社高橋工業所 | 【選べる働き方×長期休暇有×残業代全額支給】,仕事内容:加工された鉄筋をトラックに荷積みする際の玉掛け作業（クレーンで運ぶためのワイヤー掛け）を担当します。※重い鉄骨を持ち運ぶことはありません,対象となる方:【学歴・経験不問】■玉掛作業者資格、天井クレーン運転資格をお持ちの方は歓迎！ ※色んなことをするよりルーティンワークが好きな方にオススメ！,勤務地:【平塚営業所】 神奈川県平塚市久領堤2-19　三興製鋼(株)内 ※転勤なし。平塚エリアでずっと働け…,給与:月給30万円以上＋賞与年2回 【月収例】月収40万円／入社1年目 ※基本給は経験・能力を考慮のうえ決定し…,初年度年収:430万円～500万円
63,関東シティフレイト株式会社 | 東証一部上場・日本トランスシティ（株）グループ,仕事内容:配車や受付業務・書類の準備など、お客様とドライバーを結ぶ、物流事務をお任せします！ ※頼りになる先輩が丁寧に指導するので、未経験でも安心です,対象となる方:【未経験・第二新卒歓迎】・普通自動車免許（AT限定可）・周囲と積極的にコミュニケーションを図れる方　※残業少なめ・有休取りやすい,勤務地:※マイカー通勤OK！ 川崎事業所／神奈川県川崎市川崎区東扇島27-2,給与:月給25万円〜32万円（一律手当含む） ※経験・年齢などを考慮の上、当社規定により決定します。 ※試用…,初年度年収:300万円～450万円
64,昭和物流株式会社 | 東証一部上場・丸全昭和運輸（株）グループ/★年休120日,仕事内容:入庫・出庫・輸送・輸出入に関する手配業務をお任せします。 ※物流の司令塔として活躍！じっくり教えていくので安心してください。,対象となる方:【第二新卒歓迎／20～30代をはじめ、幅広い世代が活躍中】 普通自動車免許（AT可）、基本的なPCスキル　※残業は月30時間程・年間休日120日,勤務地:本社(川崎市)・千葉(市原市)・東京(港区)、いずれかの拠点に配属します。 ※勤務地は希望を考慮し…,給与:月給25万円以上 ※経験・年齢・前職の給与を考慮の上、決定します。 ※試用期間／3ヶ月 ※上記月給には…,初年度年収:350万円～400万円
65,"東邦自動車株式会社 | プジョー,シトロエン,三菱,スズキ,ダイハツの正規ディーラー",仕事内容:【簡単な点検から少しずつ！】点検・整備・修理業務をチームでお任せします。将来的に、管理職を目指すも、現場にこだわるも、フロント職に移るもOK♪,対象となる方:【実務経験は一切不問です！】☆第二新卒歓迎！◆学歴・経験不問！◆2級以上の自動車整備士資格をお持ちの方◆要普通免(MT),勤務地:東京都、神奈川県の各店舗 ★勤務地の希望を考慮！ ★転居を伴う異動なし！ ■プジョー大田／東京都大…,"給与:月給241,000円〜363,000円【前職の給与を考慮いたします】 ※上記金額には固定時間外手当30時間分（44,0…",
66,株式会社大平興業舎 | 資格取得支援有／家族手当・住宅手当など充実／月残業20h程度,仕事内容:電話・来客対応、データ入力など、事務業務をお任せします。 ★未経験の方も安心！優しい先輩が丁寧に教えます,対象となる方:【未経験歓迎】◎基本的なPCスキル（難しい操作は必要ありません）/物流・運送会社での経験があれば活かせます。,勤務地:転勤なし&マイカー通勤OK！ 【本社営業所／扇町倉庫】 神奈川県川崎市川崎区扇町53番地 JFEス…,給与:月給18万円〜25万円＋一律手当＋残業代（残業は月平均20時間程度です） ※あなたのスキル・経験などを考…,初年度年収:260万円～360万円
67,尾崎理化株式会社 | 横浜勤務／WEB面接可／年間休日128日／残業月平均30h程度,仕事内容:《”買う意思”が明確な顧客への営業！》大学病院や研究機関などを中心に、理化学機器や試薬など幅広いアイテムを販売する＜ルート営業＞です。,対象となる方:《未経験・第二新卒歓迎》【応募条件】◎高卒以上 ◎要普免(AT限定可) ◎30歳までの方(※) ★業種業界を問わず営業経験があれば活かせます,勤務地:【横浜営業所】 神奈川県横浜市緑区いぶき野31-10 ＜アクセス＞ JR横浜線「十日市場駅」より徒…,"給与:月給：23万9,400円〜26万3,600円(一律手当込み) 　　＋その他諸手当(家族手当や資格手当 等)あり ※年齢…",初年度年収:300万円～350万円
68,株式会社ヤマガタ | 設立56年の歴史と実績を誇る安定経営企業　【ヤマガタグループ】,仕事内容:【安定性バツグン／連休取得もOK！】４ｔまたは大型トラックのドライバーとして、大手スーパーのチルド食品の配送業務をお任せします。,対象となる方:【未経験者・経験者ともに歓迎！異業種出身者活躍中！】要中型以上の免許（平成19年6月までに普通免許を取得した方もOK）※大型免許取得者は優遇,勤務地:【横浜営業所】【厚木営業所】【船橋営業所】【東京営業所】【八千代営業所】いずれかの拠点 車通勤OK…,給与:月給32万円以上 ※経験・能力などを考慮し、当社規定により決定します。 ※固定残業代（35時間分6万円以…,初年度年収:360万円～400万円
69,WDB株式会社 | 東証一部上場・WDBホールディングスグループ 　★土日祝休み,仕事内容:【未経験でも安心の研修制度】神奈川エリア中心の大手メーカー・大学・公的機関などの研究プロジェクトで活躍していただきます！,対象となる方:理系学部を卒業された方、研究・実験の実務経験（1年以上の方は学歴不問） ★第二新卒・実務未経験・ブランクがある方も、ポテンシャル次第で積極採用,勤務地:★UIターン歓迎・マイカー通勤も相談OK！ 神奈川県内の各企業や研究施設など ※あなたのキャリアプ…,給与:【マイタウン型】 月給20万円〜30万円＋各種手当＋賞与年2回 【マイエリア型】 月給21万5000円〜31万500…,初年度年収:300万円～500万円
70,ビューテックローリー株式会社 | 【売上1600億円の巨大グループの一員】◆石油製品の輸送の専門,仕事内容:【イチから育成します！】◆海外から届いたガソリンなどの”石油製品”を無事に輸送できるよう、受入から出荷までの一連の管理業務をお任せします,対象となる方:【未経験・第二新卒歓迎】◆45歳以下の方(*) ＊それ以外、学歴や経験、資格やスキルなどは一切不問です！”手に職”つけて活躍したい方に最適！,勤務地:愛知県知多市での勤務となります ※マイカー通勤OK（駐車場完備） 【愛知製油所】 愛知県知多市南浜…,"給与:月給17万5,193円＋諸手当 〜 《月収例》月収26万円/入社1年目・独身・寮入居 ※経験・年齢を考慮いたし…",初年度年収:300万円～400万円
